title,tags
Toy Story,"anim comedi famili jealousi toy boy friendship friend rivalri boy next door new toy toy come to life led by woody, andy' toy live happili in hi room until andy' birthday bring buzz lightyear onto the scene. afraid of lose hi place in andy' heart, woodi plot against buzz. but when circumst separ buzz and woodi from their owner, the duo eventu learn to put asid their differences. john lasset tom hank tim allen don rickl jim varney"
Jumanji,"adventur fantasi famili board game disappear base on children' book new home reclus giant insect when sibl judi and peter discov an enchant board game that open the door to a magic world, they unwittingli invit alan -- an adult who' been trap insid the game for 26 year -- into their live room. alan' onli hope for freedom is to finish the game, which prove riski as all three find themselv run from giant rhinoceroses, evil monkey and other terrifi creatures. joe johnston robin william jonathan hyde kirsten dunst bradley pierc"
Grumpier Old Men,"romanc comedi fish best friend duringcreditssting old men a famili wed reignit the ancient feud between next-door neighbor and fish buddi john and max. meanwhile, a sultri italian divorcé open a restaur at the local bait shop, alarm the local who worri she'll scare the fish away. but she' less interest in seafood than she is in cook up a hot time with max. howard deutch walter matthau jack lemmon ann-margret sophia loren"
Waiting to Exhale,"comedi drama romanc base on novel interraci relationship singl mother divorc chick flick cheat on, mistreat and step on, the women are hold their breath, wait for the elus ""good man"" to break a string of less-than-stellar lovers. friend and confid vannah, bernie, glo and robin talk it all out, determin to find a better way to breathe. forest whitak whitney houston angela bassett loretta devin lela rochon"
Father of the Bride Part II,"comedi babi midlif crisi confid age daughter mother daughter relationship pregnanc contracept gynecologist just when georg bank ha recov from hi daughter' wedding, he receiv the news that she' pregnant ... and that george' wife, nina, is expect too. he wa plan on sell their home, but that' a plan that -- like georg -- will have to chang with the arriv of both a grandchild and a kid of hi own. charl shyer steve martin dian keaton martin short kimberli williams-paisley"
Heat,"action crime drama thriller robberi detect bank obsess chase shoot thief honor murder suspens heist betray money gang cat and mous crimin mastermind cult film ex-con heist movi one last job loner bank job neo-noir gun fight crime epic obsess master thief, neil mccauley lead a top-notch crew on variou insan heist throughout lo angel while a mental unstabl detective, vincent hanna pursu him without rest. each man recogn and respect the abil and the dedic of the other even though they are awar their cat-and-mous game may end in violence. michael mann al pacino robert de niro val kilmer jon voight"
Sabrina,"comedi romanc pari brother brother relationship chauffeur long island fusion millionair an ugli duckl have undergon a remark change, still harbor feel for her crush: a carefre playboy, but not befor hi business-focus brother ha someth to say about it. sydney pollack harrison ford julia ormond greg kinnear angi dickinson"
Tom and Huck,"action adventur drama famili a mischiev young boy, tom sawyer, wit a murder by the deadli injun joe. tom becom friend with huckleberri finn, a boy with no futur and no family. tom ha to choos between honor a friendship or honor an oath becaus the town alcohol is accus of the murder. tom and huck go through sever adventur tri to retriev evidence. peter hewitt jonathan taylor thoma brad renfro rachael leigh cook michael mcshane"
Sudden Death,"action adventur thriller terrorist hostag explos vice presid intern action superstar jean claud van damm team with power booth in a tension-packed, suspens thriller, set against the back-drop of a stanley cup game.van damm portray a father whose daughter is suddenli taken dure a championship hockey game. with the captor demand a billion dollar by game' end, van damm frantic set a plan in motion to rescu hi daughter and abort an impend explos befor the final buzzer... peter hyam jean-claud van damm power booth dorian harewood raymond j. barri"
GoldenEye,adventur action thriller cuba fals accus secret ident comput viru secret base secret intellig servic kgb satellit special car cossack electromagnet puls time bomb st. petersburg russia eject seat red armi jame bond must unmask the mysteri head of the janu syndic and prevent the leader from util the goldeney weapon system to inflict devast reveng on britain. martin campbel pierc brosnan sean bean izabella scorupco famk janssen
